index,KEY_CODE,lat_max,lat_min,lng_max,lng_min,geometry
39815,5135744034,34.625000009961745,34.62291666666663,135.50625000000002,135.50312499999995,"POLYGON((135.50625 34.6229166666667, 135.50625 34.625, 135.503125 34.625, 135.503125 34.6229166666667, 135.50625 34.6229166666667))"
39817,5135744032,34.62291667662812,34.620833333333294,135.50625000000002,135.50312499999995,"POLYGON((135.50625 34.6208333333333, 135.50625 34.6229166666667, 135.503125 34.6229166666667, 135.503125 34.6208333333333, 135.50625 34.6208333333333))"
40023,5135744044,34.62500000996174,34.62291666666663,135.51250000000002,135.50937499999995,"POLYGON((135.5125 34.6229166666667, 135.5125 34.625, 135.509375 34.625, 135.509375 34.6229166666667, 135.5125 34.6229166666667))"
40034,5135744042,34.62291667662812,34.620833333333294,135.51250000000002,135.50937499999995,"POLYGON((135.5125 34.6208333333333, 135.5125 34.6229166666667, 135.509375 34.6229166666667, 135.509375 34.6208333333333, 135.5125 34.6208333333333))"
40299,5135744033,34.625000009961745,34.62291666666663,135.503125,135.49999999999997,"POLYGON((135.503125 34.6229166666667, 135.503125 34.625, 135.5 34.625, 135.5 34.6229166666667, 135.503125 34.6229166666667))"
40312,5135744031,34.62291667662812,34.620833333333294,135.503125,135.49999999999997,"POLYGON((135.503125 34.6208333333333, 135.503125 34.6229166666667, 135.5 34.6229166666667, 135.5 34.6208333333333, 135.503125 34.6208333333333))"
40546,5135744041,34.62291667662813,34.620833333333294,135.509375,135.50624999999997,"POLYGON((135.509375 34.6208333333333, 135.509375 34.6229166666667, 135.50625 34.6229166666667, 135.50625 34.6208333333333, 135.509375 34.6208333333333))"
40553,5135744043,34.625000009961745,34.62291666666663,135.509375,135.50624999999997,"POLYGON((135.509375 34.6229166666667, 135.509375 34.625, 135.50625 34.625, 135.50625 34.6229166666667, 135.509375 34.6229166666667))"
40807,5135744131,34.62291667662813,34.620833333333294,135.51562500000003,135.51249999999996,"POLYGON((135.515625 34.6208333333333, 135.515625 34.6229166666667, 135.5125 34.6229166666667, 135.5125 34.6208333333333, 135.515625 34.6208333333333))"
40808,5135744133,34.62500000996174,34.62291666666663,135.51562500000003,135.51249999999996,"POLYGON((135.515625 34.6229166666667, 135.515625 34.625, 135.5125 34.625, 135.5125 34.6229166666667, 135.515625 34.6229166666667))"
41041,5135744143,34.62500000996174,34.62291666666663,135.52187500000002,135.51874999999995,"POLYGON((135.521875 34.6229166666667, 135.521875 34.625, 135.51875 34.625, 135.51875 34.6229166666667, 135.521875 34.6229166666667))"
41061,5135744141,34.62291667662813,34.62083333333329,135.52187500000002,135.51874999999995,"POLYGON((135.521875 34.6208333333333, 135.521875 34.6229166666667, 135.51875 34.6229166666667, 135.51875 34.6208333333333, 135.521875 34.6208333333333))"
41290,5135744132,34.62291667662813,34.620833333333294,135.51875,135.51562499999997,"POLYGON((135.51875 34.6208333333333, 135.51875 34.6229166666667, 135.515625 34.6229166666667, 135.515625 34.6208333333333, 135.51875 34.6208333333333))"
41292,5135744134,34.62500000996174,34.62291666666663,135.51875,135.51562499999997,"POLYGON((135.51875 34.6229166666667, 135.51875 34.625, 135.515625 34.625, 135.515625 34.6229166666667, 135.51875 34.6229166666667))"
41658,5135744144,34.62500000996174,34.62291666666663,135.52500000000003,135.52187499999997,"POLYGON((135.525 34.6229166666667, 135.525 34.625, 135.521875 34.625, 135.521875 34.6229166666667, 135.525 34.6229166666667))"
41662,5135744142,34.62291667662812,34.62083333333329,135.52500000000003,135.52187499999997,"POLYGON((135.525 34.6208333333333, 135.525 34.6229166666667, 135.521875 34.6229166666667, 135.521875 34.6208333333333, 135.525 34.6208333333333))"
41790,5135744234,34.625000009961745,34.62291666666663,135.53125000000003,135.52812499999996,"POLYGON((135.53125 34.6229166666667, 135.53125 34.625, 135.528125 34.625, 135.528125 34.6229166666667, 135.53125 34.6229166666667))"
41801,5135744232,34.62291667662813,34.620833333333294,135.53125000000003,135.52812499999996,"POLYGON((135.53125 34.6208333333333, 135.53125 34.6229166666667, 135.528125 34.6229166666667, 135.528125 34.6208333333333, 135.53125 34.6208333333333))"
