index,KEY_CODE,lat_max,lat_min,lng_max,lng_min,geometry
160,5339450012,35.66875001009259,35.66666666666662,139.63125000000002,139.62812499999995,"POLYGON((139.63125 35.6666666666667, 139.63125 35.66875, 139.628125 35.66875, 139.628125 35.6666666666667, 139.63125 35.6666666666667))"
162,5339450034,35.675000010093335,35.67291666666662,139.63125000000002,139.62812499999995,"POLYGON((139.63125 35.6729166666667, 139.63125 35.675, 139.628125 35.675, 139.628125 35.6729166666667, 139.63125 35.6729166666667))"
164,5339450032,35.672916676759755,35.6708333333333,139.63125000000002,139.62812499999995,"POLYGON((139.63125 35.6708333333333, 139.63125 35.6729166666667, 139.628125 35.6729166666667, 139.628125 35.6708333333333, 139.63125 35.6708333333333))"
167,5339350012,35.58541667674931,35.5833333333333,139.63125000000002,139.62812499999995,"POLYGON((139.63125 35.5833333333333, 139.63125 35.5854166666667, 139.628125 35.5854166666667, 139.628125 35.5833333333333, 139.63125 35.5833333333333))"
169,5339350032,35.58958334341647,35.58749999999997,139.63125000000002,139.62812499999995,"POLYGON((139.63125 35.5875, 139.63125 35.5895833333333, 139.628125 35.5895833333333, 139.628125 35.5875, 139.63125 35.5875))"
170,5339550032,35.75625001010296,35.754166666666634,139.63125000000002,139.62812499999995,"POLYGON((139.63125 35.7541666666667, 139.63125 35.75625, 139.628125 35.75625, 139.628125 35.7541666666667, 139.63125 35.7541666666667))"
171,5339350014,35.587500010082884,35.58541666666664,139.63125000000002,139.62812499999995,"POLYGON((139.63125 35.5854166666667, 139.63125 35.5875, 139.628125 35.5875, 139.628125 35.5854166666667, 139.63125 35.5854166666667))"
178,5339550034,35.75833334343655,35.756249999999966,139.63125000000002,139.62812499999995,"POLYGON((139.63125 35.75625, 139.63125 35.7583333333333, 139.628125 35.7583333333333, 139.628125 35.75625, 139.63125 35.75625))"
181,5339350034,35.59166667675005,35.5895833333333,139.63125000000002,139.62812499999995,"POLYGON((139.63125 35.5895833333333, 139.63125 35.5916666666667, 139.628125 35.5916666666667, 139.628125 35.5895833333333, 139.63125 35.5895833333333))"
183,5339550012,35.75208334343581,35.74999999999997,139.63125000000002,139.62812499999995,"POLYGON((139.63125 35.75, 139.63125 35.7520833333333, 139.628125 35.7520833333333, 139.628125 35.75, 139.63125 35.75))"
188,5339550014,35.75416667676939,35.7520833333333,139.63125000000002,139.62812499999995,"POLYGON((139.63125 35.7520833333333, 139.63125 35.7541666666667, 139.628125 35.7541666666667, 139.628125 35.7520833333333, 139.63125 35.7520833333333))"
190,5339450014,35.670833343426175,35.66874999999996,139.63125000000002,139.62812499999995,"POLYGON((139.63125 35.66875, 139.63125 35.6708333333333, 139.628125 35.6708333333333, 139.628125 35.66875, 139.63125 35.66875))"
192,5339460032,35.672916676759755,35.67083333333329,139.75625000000002,139.75312499999995,"POLYGON((139.75625 35.6708333333333, 139.75625 35.6729166666667, 139.753125 35.6729166666667, 139.753125 35.6708333333333, 139.75625 35.6708333333333))"
193,5339360032,35.589583343416464,35.58749999999997,139.75625000000002,139.75312499999995,"POLYGON((139.75625 35.5875, 139.75625 35.5895833333333, 139.753125 35.5895833333333, 139.753125 35.5875, 139.75625 35.5875))"
194,5339560032,35.75625001010296,35.754166666666634,139.75625000000002,139.75312499999995,"POLYGON((139.75625 35.7541666666667, 139.75625 35.75625, 139.753125 35.75625, 139.753125 35.7541666666667, 139.75625 35.7541666666667))"
198,5339460034,35.675000010093335,35.67291666666663,139.75625000000002,139.75312499999995,"POLYGON((139.75625 35.6729166666667, 139.75625 35.675, 139.753125 35.675, 139.753125 35.6729166666667, 139.75625 35.6729166666667))"
203,5339360012,35.58541667674931,35.5833333333333,139.75625000000002,139.75312499999995,"POLYGON((139.75625 35.5833333333333, 139.75625 35.5854166666667, 139.753125 35.5854166666667, 139.753125 35.5833333333333, 139.75625 35.5833333333333))"
206,5339460012,35.668750010092594,35.66666666666663,139.75625000000002,139.75312499999995,"POLYGON((139.75625 35.6666666666667, 139.75625 35.66875, 139.753125 35.66875, 139.753125 35.6666666666667, 139.75625 35.6666666666667))"
207,5339560014,35.75416667676939,35.7520833333333,139.75625000000002,139.75312499999995,"POLYGON((139.75625 35.7520833333333, 139.75625 35.7541666666667, 139.753125 35.7541666666667, 139.753125 35.7520833333333, 139.75625 35.7520833333333))"
209,5339560012,35.75208334343581,35.74999999999997,139.75625000000002,139.75312499999995,"POLYGON((139.75625 35.75, 139.75625 35.7520833333333, 139.753125 35.7520833333333, 139.753125 35.75, 139.75625 35.75))"
210,5339560034,35.75833334343655,35.756249999999966,139.75625000000002,139.75312499999995,"POLYGON((139.75625 35.75625, 139.75625 35.7583333333333, 139.753125 35.7583333333333, 139.753125 35.75625, 139.75625 35.75625))"
213,5339360034,35.59166667675005,35.5895833333333,139.75625000000002,139.75312499999995,"POLYGON((139.75625 35.5895833333333, 139.75625 35.5916666666667, 139.753125 35.5916666666667, 139.753125 35.5895833333333, 139.75625 35.5895833333333))"
215,5339460014,35.670833343426175,35.66874999999996,139.75625000000002,139.75312499999995,"POLYGON((139.75625 35.66875, 139.75625 35.6708333333333, 139.753125 35.6708333333333, 139.753125 35.66875, 139.75625 35.66875))"
219,5339360014,35.587500010082884,35.58541666666664,139.75625000000002,139.75312499999995,"POLYGON((139.75625 35.5854166666667, 139.75625 35.5875, 139.753125 35.5875, 139.753125 35.5854166666667, 139.75625 35.5854166666667))"
