TIME,start_port_id,end_port_id,user_id,gross_sales_amount_tax_excluded,payment_amount_tax_excluded,ride_duration_seconds
2023-02-09 16:00:00,20026,20004,LvJtFIaV59QdJmpNkOYd9IEB4mt1,141,0,444
2023-02-09 07:00:00,20014,20006,VaYUt9IMr7NiKLIOxOXnCFtnIm72,155,155,490
2023-02-09 19:00:00,20056,20004,pekxuPBNdIV8z912xz5tHL0vmN73,155,155,530
2023-02-09 12:00:00,20002,20052,JSAL2nKq8QgzoSA7tSykYL9sYHI2,155,155,533
2023-02-09 14:00:00,20026,20014,QZzui6iPjjZfUCGWc0LaC9mN4Qq2,155,155,540
2023-02-09 06:00:00,20048,20043,POcW7lHhKLPIRR4nEvLDA7jDSzM2,169,169,563
2023-02-09 18:00:00,20015,20026,LvJtFIaV59QdJmpNkOYd9IEB4mt1,169,169,582
2023-02-09 07:00:00,20010,20007,nLHMPQ4TXqFqGOtjeGdt,169,169,598
2023-02-09 08:00:00,20051,20031,aUdwYzgPJ4SpuZduv0hzjrhisZx2,182,182,604
2023-02-09 12:00:00,20051,20044,IGpGGIvIQ9MVNLFhIRsw8e2XjlT2,196,196,661
2023-02-09 22:00:00,20031,20051,aUdwYzgPJ4SpuZduv0hzjrhisZx2,196,196,666
2023-02-09 14:00:00,20054,20034,lhEn3ST5mvZvd7EmFCMjXVvlXJr1,196,196,705
2023-02-09 21:00:00,20049,20058,BnWtZk6m1uh70ct56mzfCeNRU0H2,196,196,666
2023-02-09 17:00:00,20007,20031,sLZrkMOK2kciCwCXjLsjxFTbn9z2,210,210,780
2023-02-09 19:00:00,20020,20004,QEvi79W23zPF9Q7wOCMNsZdiR2f2,210,210,770
2023-02-09 18:00:00,20055,20003,GWpqmaEU9sgDoMO99CJspAmkwqA3,210,210,766
2023-02-09 12:00:00,20024,20026,QZzui6iPjjZfUCGWc0LaC9mN4Qq2,237,0,873
2023-02-09 18:00:00,20010,20020,4CLmTNWEsGMBzaQRnLGKu82PF6k1,237,237,858
2023-02-09 17:00:00,20001,20014,iiH7M98lDShlzzEA9M0LrWCVmuz1,237,237,844
2023-02-09 13:00:00,20062,20051,IGpGGIvIQ9MVNLFhIRsw8e2XjlT2,223,223,834
2023-02-09 16:00:00,20039,20018,QHWxqcIR5hUrXGz47HZx,237,237,884
2023-02-09 16:00:00,20037,20018,IGpGGIvIQ9MVNLFhIRsw8e2XjlT2,237,237,884
2023-02-09 23:00:00,20001,20034,aXJyswiXIUcwPkE88WkH1QWv12t2,237,237,887
2023-02-09 18:00:00,20026,20031,xhljkYmIWjVPz3rOUJOyL013fN12,264,0,978
2023-02-08 23:00:00,20001,20034,aXJyswiXIUcwPkE88WkH1QWv12t2,264,264,998
2023-02-09 23:00:00,20044,20049,lRshIR19riUWTu1NRLQwtIlvfxM2,278,278,1024
2023-02-09 17:00:00,20018,20043,8xwUd43XR5Se6YqikoOOoxrL4HW2,305,0,1158
2023-02-09 17:00:00,20018,20043,izslPsrqsaTCPP6qYxgU,305,305,1148
2023-02-09 15:00:00,20050,20019,2C3mVYzIZIPslKJk8bg9ClRaLyA2,332,332,1306
2023-02-09 18:00:00,20015,20048,6liO6LkmE7f01fLVZ25n,332,332,1292
2023-02-09 15:00:00,20050,20019,WlOxaMm18Jbf36MwG4jykGhp1v43,332,332,1303
