port_id,port_name,lat,lng,installation_day,city_id,ward,station,distance,capacity,payment_amount,KEY_CODE
930,スマートハウジング豊洲まちなみ公園①,35.650189,139.791231,2022-03-31,shibuya,江東区,新豊洲駅,222.7127675217025,15.0,33000.0,5339368312.0
931,スマートハウジング豊洲まちなみ公園②,35.650657,139.79182,2022-03-31,shibuya,江東区,新豊洲駅,296.0116882944372,20.0,44000.0,5339368312.0
934,日本科学未来館 (Miraikan),35.619254,139.777599,2022-03-31,shibuya,江東区,テレコムセンター駅,264.2530972147518,20.0,44000.0,5339364213.0
935,ルフォンプログレ千代田御茶ノ水,35.69969,139.75775,2022-03-31,shibuya,千代田区,水道橋駅,394.87475276027504,5.0,13200.0,5339463043.0
936,Privia祐天寺,35.634264,139.69724,2022-03-31,shibuya,目黒区,祐天寺駅,678.1496744434984,3.0,4950.0,5339356522.0
937,Loop-M,35.639031,139.75455,2022-03-31,shibuya,港区,芝浦ふ頭駅,487.2418906420036,5.0,13200.0,5339366032.0
938,S-RESIDENCE日本橋浜町,35.68616564288887,139.78901568469047,2022-03-31,shibuya,中央区,浜町駅,247.3586100265088,2.0,5500.0,5339462313.0
939,リュシアン大崎,35.618806,139.73398,2022-03-31,shibuya,品川区,大崎駅,462.3164334722904,3.0,6600.0,5339354823.0
940,レザミ高輪ビル,35.6392,139.738693,2022-03-31,shibuya,港区,泉岳寺駅,203.1962389002491,4.0,12000.0,5339356931.0
941,株式会社ジュパ,35.705472,139.770775,2022-03-31,shibuya,台東区,湯島駅,266.6128667858016,10.0,22000.0,5339464141.0
942,Clavier祐天寺,35.634259,139.697228,2022-03-31,shibuya,目黒区,祐天寺駅,677.3748443896769,6.0,9900.0,5339356522.0
943,ハンドレッドサーカスイーストタワー　駐輪場,35.702405,139.695737,2022-03-31,shibuya,新宿区,大久保駅,356.82631654454286,13.0,28600.0,5339454523.0
944,ハンドレッドサーカスイーストタワー,35.701952,139.695684,2022-03-31,shibuya,新宿区,大久保駅,320.0695204666186,16.0,44000.0,5339454521.0
945,青山アイビスビル　アシスト自転車専用,35.6602573378148,139.70812550429918,2022-03-31,shibuya,渋谷区,渋谷駅,519.4671455374394,4.0,27500.0,5339359621.0
946,D-Flat,35.6806815,139.6727313,2022-04-04,shibuya,渋谷区,幡ヶ谷駅,649.3766714341043,8.0,16500.0,5339451342.0
947,ジオエント中野弥生町,35.689612,139.677943,2022-04-03,shibuya,中野区,中野新橋駅,415.34465136974825,8.0,17600.0,5339452433.0
948,豊洲センタービル,35.656449,139.796029,2022-04-01,shibuya,江東区,豊洲駅,238.38326395693247,20.0,44000.0,5339368343.0
949,新宿区高田馬場3-1-5,35.71471,139.703637,2022-04-03,shibuya,新宿区,高田馬場駅,86.41237112446608,12.0,26400.0,5339455634.0
950,渋谷区幡ヶ谷3-3-2,35.679876,139.676272,2022-04-03,shibuya,渋谷区,幡ヶ谷駅,374.3630630544867,2.0,6600.0,5339451431.0
951,ドムス・スタイル両国,35.7004533,139.7989856,2022-04-11,shibuya,墨田区,両国駅,358.324526872048,4.0,8250.0,5339464322.0
952,AP千駄ヶ谷2丁目第1,35.67568,139.707376,2022-04-03,shibuya,渋谷区,北参道駅,484.4830944395604,20.0,55000.0,5339451621.0
953,ザ・ブリュー清澄白河,35.6811129,139.8055573,2022-04-11,shibuya,江東区,清澄白河駅,393.6073998758046,3.0,13200.0,5339461432.0
954,エクセレンス笹塚駐車場2番,35.6744622,139.6654203,2022-04-05,shibuya,渋谷区,笹塚駅,232.28879069197083,8.0,30800.0,5339450333.0
