port_id,port_name,lat,lng,installation_day,city_id,ward,station,distance,capacity,payment_amount,KEY_CODE
10329,北大阪茶屋町ビル 階段下,34.706314,135.500015,2022-03-31,osaka,北区,梅田駅,204.92019000842168,6.0,17600.0,5235044033.0
10330,天満駅,34.7051002,135.511752,2022-04-11,osaka,北区,扇町駅,99.6064312802458,16.0,95539.0,5235044042.0
10331,京橋駅（日本旅行横）,34.697819,135.533665,2022-04-07,osaka,城東区,京橋駅,24.50453391328745,10.0,47770.0,5235043241.0
10332,S-FORT福島LaLuna,34.7012299,135.4804135,2022-04-05,osaka,北区,福島駅,754.2531114624868,2.0,8250.0,5235034812.0
10333,S-FORT福島Libre,34.7026569,135.4764069,2022-04-05,osaka,福島区,海老江駅,812.9621214222602,2.0,8250.0,5235034813.0
10334,S-FORT福島Ebie,34.6950851,135.4679962,2022-04-05,osaka,福島区,淀川駅,323.3099231273264,4.0,13750.0,5235033714.0
10335,プレサンス難波マジョリティ,34.6640927,135.510356,2022-04-11,osaka,中央区,日本橋駅,392.6593962423709,7.0,14850.0,5135749042.0
10336,プレサンス北浜ラ・フェスタ,34.6890641,135.5091114,2022-04-11,osaka,中央区,なにわ橋駅,340.3578200110674,6.0,13200.0,5235042041.0
10337,プレサンス野田阪神駅前ザ・ファースト,34.6948326,135.4736781,2022-04-11,osaka,福島区,野田阪神駅,110.13786582156338,3.0,6600.0,5235033724.0
10338,プレサンス松屋町グレース1,34.67678076011644,135.51202526932886,2022-04-11,osaka,中央区,松屋町駅,161.1885447136544,4.0,8250.0,5235041022.0
10339,プレサンス松屋町グレース2,34.67685024218147,135.5120232576721,2022-04-11,osaka,中央区,松屋町駅,167.14648806983837,3.0,6600.0,5235041022.0
10340,プレサンス上町台東平,34.6702832,135.5185303,2022-04-11,osaka,中央区,谷町九丁目駅,343.55162453200285,5.0,11550.0,5235040114.0
10341,プレサンス心斎橋クオーレ,34.6769399,135.5104566,2022-04-11,osaka,中央区,松屋町駅,286.2579173890296,3.0,6600.0,5235041022.0
10342,プレサンス堺筋本町駅前シェル1,34.67989085156973,135.50761107607482,2022-04-11,osaka,中央区,堺筋本町駅,217.1725337055912,4.0,8250.0,5235041041.0
10343,プレサンス堺筋本町駅前シェル2,34.67989030014526,135.50764795644878,2022-04-11,osaka,中央区,堺筋本町駅,218.9079539686861,4.0,8250.0,5235041041.0
10344,プレサンス難波インフィニティ1,34.65968460047901,135.50799197265283,2022-04-11,osaka,浪速区,恵美須町駅,357.7367612455478,8.0,16500.0,5135749021.0
10345,プレサンス難波インフィニティ2,34.659690983601195,135.50778287254062,2022-04-11,osaka,浪速区,恵美須町駅,347.62411467694375,8.0,16500.0,5135749021.0
10346,オーク堺筋本町,34.683896,135.507031,2022-04-13,osaka,中央区,堺筋本町駅,240.47418806618904,18.0,41800.0,5235042021.0
10347,大阪富士屋ホテル,34.67085,135.5060242,2022-04-11,osaka,中央区,日本橋駅,372.77598838331016,2.0,4950.0,5235040032.0
10348,APパーク大国町 国道沿い側,34.65690709479014,135.49803822084942,2022-06-15,osaka,浪速区,大国町駅,185.9368258117047,13.0,41239.0,5135738944.0
10349,センチュリオンホテル CEN大阪難波,34.664553,135.497048,2022-04-15,osaka,浪速区,難波駅,276.1942583745102,5.0,11550.0,5135739942.0
10350,ドエル天満橋,34.68733,135.516603,2022-04-15,osaka,中央区,天満橋駅,319.1013371804584,5.0,11550.0,5235042114.0
10351,レオンコンフォート本町,34.679655,135.49855,2022-04-15,osaka,中央区,本町駅,269.81239751604403,4.0,8250.0,5235031942.0
10352,レオンコンフォート本町東Ⅱ,34.68233,135.512435,2022-04-15,osaka,中央区,谷町四丁目駅,444.2885291434446,2.0,4950.0,5235041044.0
10353,レオンコンフォート難波クレア,34.6607,135.4925,2022-04-15,osaka,浪速区,芦原橋駅,386.59745256234095,4.0,5500.0,5135739914.0
10354,LEON BLDG,34.699778,135.5184,2022-05-10,osaka,北区,大阪天満宮駅,611.291248475347,4.0,5500.0,5235043134.0
10355,プレミアムコート谷町四丁目,34.6805,135.5127,2022-04-15,osaka,中央区,谷町四丁目駅,423.61007344926026,3.0,6600.0,5235041131.0
10356,瓦町スクエアビル,34.6860955,135.5041027,2022-04-15,osaka,中央区,本町駅,339.4324590405532,3.0,6600.0,5235042014.0
10357,ハローパーク天王寺町北,34.6463208,135.5230693,2022-05-18,osaka,阿倍野区,寺田町駅,239.4126172018957,8.0,14520.0,5135747142.0
10358,リノパーキング靱本町,34.6846018,135.497133,2022-05-16,osaka,西区,本町駅,119.04686131233876,2.0,5940.0,5235032922.0
10359,エスリード東梅田 自動販売機横,34.70582091160327,135.5053754951966,2022-04-29,osaka,北区,中崎町駅,221.07736367036,4.0,13200.0,5235044032.0
10360,ページェビル,34.6451505,135.5142784,2022-05-16,osaka,阿倍野区,大阪阿部野橋駅,149.35845834978485,2.0,3960.0,5135747113.0
10361,中之島センタービルホテルNCB棟,34.687199,135.484785,2022-04-29,osaka,北区,阿波座駅,538.8838179654061,8.0,16500.0,5235032824.0
10362,心斎橋BIG STEP,34.67265,135.49871,2022-04-29,osaka,中央区,四ツ橋駅,295.3709276621013,5.0,13200.0,5235030942.0
10364,NIPPO本町西ビル,34.6862304,135.4997247,2022-05-16,osaka,中央区,本町駅,181.78177390309887,2.0,4950.0,5235032924.0
10365,CASSIA 福島駅前,34.696321,135.4858277,2022-06-03,osaka,福島区,福島駅,163.44513499437534,4.0,11000.0,5235033842.0
10366,プレサンス難波駅前,34.664677,135.4983083,2022-06-20,osaka,浪速区,難波駅,160.13774323292526,8.0,16500.0,5135739944.0
10367,レオンコンフォート堀江公園,34.6719825,135.4931473,2022-05-16,osaka,西区,西大橋駅,409.4049604457523,4.0,13200.0,5235030932.0
10368,レオンコンフォート新梅田Ⅲ,34.7094913,135.4872213,2022-05-16,osaka,北区,中津駅,413.3390125109636,4.0,6600.0,5235035822.0
10369,レオンコンフォート難波リオ,34.6679357,135.4910197,2022-05-16,osaka,浪速区,桜川駅,149.2263459199928,4.0,6600.0,5235030912.0
10370,エスリードホテル大阪鶴橋,34.66557,135.528493,2022-05-16,osaka,天王寺区,鶴橋駅,151.2603820835813,12.0,15000.0,5135749234.0
10371,エスリードホテルなんば大国町,34.655538317393095,135.49545883432387,2022-05-13,osaka,浪速区,大国町駅,223.928864971797,10.0,10000.0,5135738941.0
10372,変なホテル大阪 なんば,34.6711528,135.4985677,2022-05-24,osaka,中央区,四ツ橋駅,436.6083241688419,3.0,6000.0,5235030942.0
10373,変なホテル大阪 心斎橋,34.675778,135.5023338,2022-05-24,osaka,中央区,心斎橋駅,184.8324697068983,3.0,6000.0,5235041011.0
10374,大阪シティホテル京橋,34.6956846,135.5302529,2022-06-03,osaka,都島区,京橋駅,160.0304598953135,6.0,8800.0,5235043214.0
10375,B-Proud天満橋,34.6878878,135.5120012,2022-05-25,osaka,中央区,天満橋駅,426.0755557322429,4.0,8800.0,5235042042.0
10376,スイスホテル南海大阪,34.664064,135.5005616,2022-06-03,osaka,中央区,難波駅,103.49685631640963,10.0,21450.0,5135749031.0
10377,四ツ橋KFビル,34.6790822,135.4965262,2022-06-03,osaka,西区,本町駅,349.66287443140044,5.0,11550.0,5235031923.0
10378,オリエンス夕陽丘,34.6610204,135.5100349,2022-06-20,osaka,浪速区,四天王寺前夕陽ヶ丘駅,441.84273606789714,2.0,3300.0,5135749024.0
